ID;Description
Alumni-in-Action Oral History Project;"Guelph, Ontario, Canada. Interviews recorded since 1987 by university alumni with alumni who have had distinguished and/or interesting careers, particularly in the field of agriculture. Includes interviews with Kenneth McPhee, President of the Canadian Institute of Food Technology, Bill Watson, Ontario Livestock Commissioner and Assistant Deputy Minister (1928-1933), N.R. Richards of the Canadian Agricultural Research Council, Alfred Dryden Hales, a Conservative MP, Dr. Robert Sheldon Gowe, director of the Animal Research Centre in Ottawa, and R.W. Goble, Provincial Entomologist from 1948 to 1953. English. Open. Index by name of interviews; some tapes have summaries. "
Amarilla Hamblin Lee Interview;Salt Lake City, Utah, United States. The Amarilla Hamblin Lee Interview (1970) was conducted by P. T. Reilly. Lee, born in Pleasanton, New Mexico, in 1884, was the 24th and last child of Mormon polygamist Jacob Hamblin. In the interview, Lee relates stories heard from her mother, siblings, and Hamblins' other wives. She also discusses her own childhood and immediate family. 
Ambleside Oral History;Ambleside, England, United Kingdom. Oral history interviews regarding daily life in Westmorland County and surrounding areas in the United Kingdom. 
America at War Collection Oral History Interviews;Stillwater, Oklahoma, United States. following collections contain significant primary source material for scholars and students involved in research on World War II, ranging from personal reminiscences of active duty and life at home to official documents relating to the war. Material concerning World War II is not limited to these collections. Please contact our office by telephone at (405) 744-6311 or by Email at: lib-scua@okstate.edu for further information or regarding donation of new material. Special Collections also houses several collections dealing with other conflicts, including the Civil War, World War I, Korean War, and Vietnam War. 
American Academy of Pediatrics Oral History Collection;"Elk Grove Village, Illinois, United States. Through its Oral History Program, the Center conducts interviews with selected pediatricians and other leaders in the advancement of children's health care, preserving the recordings and transcripts. The Pediatric History Center preserves and organizes these materials to make them available for use by Academy members, staff, and outside researchers. Assistance with historical research is available through the archivist; however, individuals wishing to conduct extensive research are encouraged to make an appointment to visit the archives. "
American Academy of Pediatrics Project;New York, New York, United States. Two interviews with founders of the field of pediatrics in the United States collected as part of a pilot program on the history of pediatrics. Undertaken through support by the American Academy of Pediatrics. 447 pp. 
American Association of Physics Teachers Project;New York, New York, United States. Founding members discuss the formation of the American Association of Physics Teachers in 1930 and describe its relations with the American Physical Society and the American Institute of Physics. 
American Association of University Professors;Storrs, Connecticut, United States. 
American Bar Association Section;Bloomington, Indiana, United States. 
American Bar Foundation Oral History Program;Chicago, Illinois, United States. In 1974 the Board of Directors of the American Bar Foundation authorized the organization of an Oral History Program for the purpose of assembling a historical record about the legal profession and the organized bar. During the following two years Olavi Maru of the American Bar Foundation conducted over fifty interviews with a group of legal professionals that included Lewis Powell, Dallin Oaks, Geoffrey Hazard, Jr. and A. James Casner as well as a number of former and current officers of the American Bar Association. Many of the interviewees had been active in ABA affairs as early as the 1930s and witnessed watershed events not only in ABA history, but American legal history in general. 
American China Mission Project Oral History;Boston, Massachusetts, United States. The American China Mission Project (twenty-five interviews) chronicles Wayne Anderson's involvement with Episcopalian missionaries who traveled throughout China between 1917 and 1950. Of significance are the interviews with the group's leaders, the Reverend Leslie and Mary Fairfield. The Mission introduced churches, schools, and medical facilities to impoverished communities in China and trained individuals to manage these institutions independently. The narrators discuss their reasons for joining the missionary, their experiences in China, their religious beliefs, and their relations with the Chinese people. 
American Craftspeople Project;"New York, New York, United States. Over 150 interviews with a wide range of craftspeople working in a variety of mediums; cloth, metals, wood, glass, etc. The interviews document the transformation of the crafts to objets d'art. The project was made possible by Dr. Richard Polsky, who conducted the interviews and directed the transcription. "
American Cultural Leaders Project;New York, New York, United States. This series of interviews was conducted by Joan Simpson Burns to provide material for a study of patterns in American cultural life, published in her book The Awkward Embrace: The Creative Artist & the Institution in America. Mrs. Burns' interest centered on her subjects' family backgrounds and early exposure to the arts as well as on their later contributions to American culture. 
American Entrepreneurs Project;New York, New York, United States. Five interviews with major American entrepreneurs in finance, publishing, electronics, food processing and other industries. Undertaken under a gift from the price institute for the Study of Entrepreneurship in conjunction with the UCLA Oral History Program. 1254 pp. 
American Falls CLG Collection;Boise, Idaho, United States. 
American Federation of Teachers Oral History Project;Detroit, Michigan, United States. AFT-sponsored series of interviews conducted between 1985 and 1987 by Renee Epstein with leading figures in the union. Topics discussed include the rise of the militant teacher, first collective bargaining, first strikes, AFT political structure, Shanker vs. Selden fight, and Oceanhill-Brownsville. 
American Foundations Oral History Project;Bloomington, Indiana, United States. 
American Gay Community Project;Boston, Massachusetts, United States. The American Gay Community Project contains one interview conducted shortly before the oral history program was discontinued. The narrator discusses his experiences as a young African-American man coming to terms with his sexuality. Other topics include religion, the Harvard Divinity School, Princeton University, the Ku Klux Klan, African-American culture in the late 1970s and 1980s, and rural and suburban gay communities. 
American Historians Project;"New York, New York, United States. A series of interviews conducted with leading historians, conducted by Professor John Garraty, dealing with such topics as westward expansion and economic change to 1860; slavery in the United States; American nationalism, social and cultural changes in the United States between the Civil War and World War I; Reconstruction Period; the United States in world affairs from 1918 to 1945; and problems of interpretation of history. "
American Indian Oral History Project;Grand Forks, North Dakota, United States. The American Indian Oral History Project consists of manuscripts, taped interviews and transcripts on various topics of the American Indian cultural heritage through a project initiated during the summer of 1968 and funded by several agencies including the University of North Dakota. The tapes and transcriptions in this collection consist of several interviews with members of the Red Lake Indian Reservation located in central Minnesota. Topics covered include Indian hunting and fishing techniques, burial rites, agriculture, medicine, child rearing, treaties, religion, and pow-wows. 
American Indian Studies: American Indian Lives;Long Beach, California, United States. Founded in 1969, the American Indian Studies program at CSULB attracted a wide range of native community-based activists as well as non-native students interested in American Indian culture and society. Women played a very prominent role both in departmental activities and in planning campus events. Although there was no sustained plan to collect oral histories, the women taking courses in American Indian studies and in women’s studies frequently chose to interview their classmates and family friends. Some of these interviews are incorporated into the American Indian Lives series. 
American Jewish Committee General Biography Collection;New York, New York, United States. 
American Jewish Committee Oral History Collection;New York, New York, United States. A collection of interviews with staff and lay leaders who have contributed significantly to the development and growth of the American Jewish Committee. The project was conducted in conjunction with AJC's 75th Anniversary. 
American Jewish Experience in the 20th Century;New York, New York, United States. Over 156,000 pages of transcripts, 6,000 hours of taped interviews, 2,250 informants: this incomparable repository of unique and unpublished primary source material for the study of what is often called “the American Jewish experience in the 20th century” is the mother of all American Jewish oral histories and one of American Jewish culture’s most substantial monuments. 
American Jewish Family Across Three Generations;New York, New York, United States. This ongoing project, which focuses upon the changing American Jewish family, presently consists of over 100 memoirs covering three generations of 30 families in the New York City area. The parenthetical number preceding an individual's name indicates first, second or third generations. The project is a joint collaboration of the Wiener Oral History Library and the William Petschek Jewish Family Center of the American Jewish Committee. 
American Jewish Historical Society;Gainesville, Florida, United States. Oral history interviews with members of the American Jewish Historical Society. 
American Jewish Women of Achievement;New York, New York, United States. Authors, attorneys, choreographers, publicists, mothers, wives, community workers -- all different voices, recorded in this collection of American Jewish women of the 20th century. 
American Jews in Israel: Collection I;"New York, New York, United States. Two collection of interviews with American Jews who immigrated to Israel. Collection I focuses on why these American citizens chose to live in Israel and how they adjusted to their new society and culture. It was developed by Elaine Sternberg, Wiener Library oral historian, who conducted the interviews in 1983. All of the interviews are available on tape only; they have not been transcribed. "
American Jews in Israel: Collection II;"New York, New York, United States. Two collection of interviews with American Jews who immigrated to Israel. Collection II is made up of Americans who transplanted their association with American Jewish organizations to similar groups in Israel. The memoirists speak about their involvement in political, cultural and religious life in Israel. The project was conducted by Ava Kahn, a Ph.D. candidate at the University of California at Santa Barbara. The collection was acquired for the Oral History Library under the auspices of the AJC's Institute on American Jewish-Israeli Relations. All the interviews are ""open"". "
American Jews in Sports;New York, New York, United States. A collection of interviews with American Jews who were or are currently involved in sports. Interviews were conducted with individuals involved in sports. Interviews were conducted with individuals in sports promotion, as well as participants in baseball, boxing, football and basketball. 
American Jews of Sephardic Origin;New York, New York, United States. This collection brings to the AJC Oral History Library firsthand testament to the rich cultural and religious heritage of Sephardic Jewry. It contains over one hundred memoirs of people who trace their origins to more than twenty countries and five continents. Included are Sephardim who were born in the United States, those who immigrated as children and those who came as adults. 
American Life Histories, Manuscripts from the Federal Writers Project, 1936-1940;Washington, District of Columbia, United States. The Library of Congress collection includes 2,900 documents representing the work of over 300 writers from 24 states. Typically 2,000-15,000 words in length, the documents consist of drafts and revisions, varying in form from narrative to dialogue to report to case history. The histories describe the informant's family education, income, occupation, political views, religion and mores, medical needs, diet and miscellaneous observations. Pseudonyms are often substituted for individuals and places named in the narrative texts. 
American Meteorological Society;Boulder, Colorado, United States. Oral history interviews with members of the American Meteorological Society. 
American Printing History Association Oral History Project;New York, New York, United States. The American Printing History Association Oral History Project records the voices, knowledge, and insights of printers, illustrators, designers, and members of allied trades. We are interviewing senior members of these trades, so that their experiences and skills will not be lost. We will question and record well known individuals as well as those less likely to write their own stories: including but not limited to job printers, dot etchers, typographers, linotype operators, and others whose skills became obsolete during the computer revolution. In addition to collecting historical material, we would like to register current developments in the printing trade by documenting the careers of digital type designers, computer typesetters, contemporary graphic artists, managers, and owners of printing businesses. We also want our project to extend to members of all the book production professions. 
American Samoa Humanities Council Oral History Project;Pago Pago, American Samoa. The recently established American Samoa Humanities Council is wholly funded through a grant from the National Endowment for the Humanities. The Historic Preservation Office works with the Humanities Council on oral history and oral tradition projects, and other joint projects are planned. 
